gene_id	start	stop	strand	gene_name	product	tu	chromosome	protein_id	taxid	TF_name	TF_K12_ortho	gene_synonyms	protein_synonyms
STM474_RS23635	21	584	R	STM474_RS23635	fertility inhibition protein FinO,conjugal transfer protein	STM474_RS23635	NC_016858.1	WP_000139307.1	909946	NA	NA	STM474_RS23635,WP_000139307.1,RS23635	WP_000139307.1,fertility inhibition protein FinO
STM474_RS24680	27	842	R	sul2	sulfonamide-resistant dihydropteroate synthase Sul2,sulfonamide-resistant dihydropteroate synthase Sul2	sul2	NC_016859.1	WP_001043260.1	909946	NA	NA	STM474_RS24680,sul2,WP_001043260.1,RS24680	WP_001043260.1,sulfonamide-resistant dihydropteroate synthase Sul2
STM474_RS00005	190	255	D	thrL	thr operon leader peptide,thr operon leader peptide	thrC // thrB // thrA // thrL	NC_016857.1	WP_001575544.1	909946	NA	NA	STM474_RS00005,thrL,WP_001575544.1,RS00005	WP_001575544.1,thr operon leader peptide,ThrL
STM474_RS00010	337	2799	D	thrA	bifunctional aspartate kinase/homoserine dehydrogenase I,bifunctional aspartate kinase/homoserine dehydrogenase I	thrC // thrB // thrA // thrL	NC_016857.1	WP_001264681.1	909946	NA	NA	STM474_RS00010,thrA,WP_001264681.1,RS00010	WP_001264681.1,bifunctional aspartate kinase/homoserine dehydrogenase I,ThrA
STM474_RS24200	455	1486	D	STM474_RS24200	replication initiation protein,replication initiation protein	STM474_RS24200	NC_017675.1	WP_000907875.1	909946	NA	NA	STM474_RS24200,WP_000907875.1,RS24200	WP_000907875.1,replication initiation protein
STM474_RS23640	639	1379	R	traX	conjugal transfer pilus acetylase TraX,conjugal transfer pilus acetylase TraX	traI // traX	NC_016858.1	WP_000177629.1	909946	NA	NA	STM474_RS23640,traX,WP_000177629.1,RS23640	WP_000177629.1,conjugal transfer pilus acetylase TraX,IncI1-type conjugal transfer protein TraX,TraX
STM474_RS24685	1150	2001	R	STM474_RS24685	replication protein,replication protein	STM474_RS24700 // STM474_RS24695 // STM474_RS24690 // STM474_RS24685	NC_016859.1	WP_000240536.1	909946	NA	NA	STM474_RS24685,WP_000240536.1,RS24685	WP_000240536.1,replication protein
STM474_RS23645	1399	6657	R	traI	conjugative transfer relaxase/helicase TraI,conjugative transfer relaxase/helicase TraI	traI // traX	NC_016858.1	WP_000986921.1	909946	NA	NA	STM474_RS23645,traI,WP_000986921.1,RS23645	WP_000986921.1,conjugative transfer relaxase/helicase TraI,IncI1-type conjugal transfer lipoprotein TraI,TraI
STM474_RS24690	1988	2827	R	STM474_RS24690	AAA family ATPase,regulatory protein RepA	STM474_RS24700 // STM474_RS24695 // STM474_RS24690 // STM474_RS24685	NC_016859.1	WP_000190708.1	909946	NA	NA	STM474_RS24690,WP_000190708.1,RS24690	WP_000190708.1,AAA family ATPase
STM474_RS24205	2395	2664	D	STM474_RS24205	hypothetical protein,hypothetical protein	STM474_RS24215 // STM474_RS24210 // STM474_RS24205	NC_017675.1	WP_000079928.1	909946	NA	NA	STM474_RS24205,WP_000079928.1,RS24205	WP_000079928.1,hypothetical protein
STM474_RS24210	2661	2942	D	STM474_RS24210	type II toxin-antitoxin system RelE/ParE family toxin,type II toxin-antitoxin system RelE/ParE family toxin	STM474_RS24215 // STM474_RS24210 // STM474_RS24205	NC_017675.1	WP_000969996.1	909946	ParE_toxin	-	STM474_RS24210,WP_000969996.1,RS24210,PF05016.14	WP_000969996.1,type II toxin-antitoxin system RelE/ParE family toxin,ParE_toxin
STM474_RS00015	2801	3730	D	thrB	homoserine kinase,homoserine kinase	thrC // thrB // thrA // thrL	NC_016857.1	WP_000241685.1	909946	NA	NA	STM474_RS00015,thrB,WP_000241685.1,RS00015	WP_000241685.1,homoserine kinase,ThrB
STM474_RS24695	2857	3063	R	STM474_RS24695	hypothetical protein,hypothetical protein	STM474_RS24700 // STM474_RS24695 // STM474_RS24690 // STM474_RS24685	NC_016859.1	WP_007857788.1	909946	NA	NA	STM474_RS24695,WP_007857788.1,RS24695	WP_007857788.1,hypothetical protein
STM474_RS24215	2982	3830	D	STM474_RS24215	3'-5' exonuclease,3'-5' exonuclease	STM474_RS24215 // STM474_RS24210 // STM474_RS24205	NC_017675.1	WP_001057996.1	909946	NA	NA	STM474_RS24215,WP_001057996.1,RS24215	WP_001057996.1,3'-5' exonuclease
STM474_RS24700	3065	3277	R	STM474_RS24700	hypothetical protein,hypothetical protein	STM474_RS24700 // STM474_RS24695 // STM474_RS24690 // STM474_RS24685	NC_016859.1	WP_000455501.1	909946	NA	NA	STM474_RS24700,WP_000455501.1,RS24700	WP_000455501.1,hypothetical protein
STM474_RS24705	3338	5467	R	STM474_RS24705	MobA/MobL family protein,mobilization protein A	STM474_RS24705	NC_016859.1	WP_001395566.1	909946	NA	NA	STM474_RS24705,WP_001395566.1,RS24705	WP_001395566.1,MobA/MobL family protein
STM474_RS00020	3734	5020	D	thrC	threonine synthase,threonine synthase	thrC // thrB // thrA // thrL	NC_016857.1	WP_000781105.1	909946	NA	NA	STM474_RS00020,thrC,WP_000781105.1,RS00020	WP_000781105.1,ThrC,threonine synthase
STM474_RS24220	3947	4420	D	STM474_RS24220	hypothetical protein,hypothetical protein	STM474_RS24220	NC_017675.1	WP_001334658.1	909946	NA	NA	STM474_RS24220,WP_001334658.1,RS24220	WP_001334658.1,hypothetical protein
