gene_id	start	stop	strand	gene_name	product	tu	chromosome	protein_id	taxid	TF_name	TF_K12_ortho	gene_synonyms	protein_synonyms
STM14_RS00005	94	378	D	STM14_5526	Putative cytoplasmic protein,hypothetical protein	STM14_RS00010 // STM14_5526	NC_016855.1	WP_000477658.1	588858	NA	NA	STM14_RS00005,STM14_5526,WP_000477658.1,RS00005	WP_000477658.1,Putative cytoplasmic protein
STM14_RS00570	190	255	D	STM14_RS00570	thr operon leader peptide,thr operon leader peptide	STM14_RS00570	NC_016856.1	WP_001575544.1	588858	NA	NA	STM14_RS00570,WP_001575544.1,RS00570	WP_001575544.1,thr operon leader peptide
STM14_RS00575	337	2799	D	STM14_RS00575	bifunctional aspartate kinase/homoserine dehydrogenase I,bifunctional aspartate kinase/homoserine dehydrogenase I	STM14_RS00585 // STM14_RS00580 // STM14_RS00575	NC_016856.1	WP_001264681.1	588858	NA	NA	STM14_RS00575,WP_001264681.1,RS00575	WP_001264681.1,bifunctional aspartate kinase/homoserine dehydrogenase I
STM14_RS00010	391	546	D	STM14_RS00010	hypothetical protein,hypothetical protein	STM14_RS00010 // STM14_5526	NC_016855.1	WP_000983042.1	588858	NA	NA	STM14_RS00010,WP_000983042.1,RS00010	WP_000983042.1,hypothetical protein
STM14_RS00015	712	1154	D	STM14_RS00015	phospholipase	STM14_RS00015	NC_016855.1	NA	588858	NA	NA	STM14_RS00015,RS00015	
STM14_RS25775	1053	1265	R	STM14_RS25775	hypothetical protein	STM14_RS25775	NC_016855.1	NA	588858	NA	NA	STM14_RS25775,RS25775	
STM14_RS00020	1333	1599	D	STM14_RS00020	replication protein,replication protein	STM14_RS00020	NC_016855.1	WP_010999936.1	588858	NA	NA	STM14_RS00020,WP_010999936.1,RS00020	WP_010999936.1,replication protein
STM14_RS00025	1722	1844	D	STM14_RS00025	DNA replication protein,DNA replication protein	STM14_RS24260 // repA // tap // STM14_RS00025	NC_016855.1	WP_010999937.1	588858	NA	NA	STM14_RS00025,WP_010999937.1,RS00025	WP_010999937.1,DNA replication protein
STM14_RS00030	1849	1926	D	tap	RepA leader peptide,RepA leader peptide Tap	STM14_RS24260 // repA // tap // STM14_RS00025	NC_016855.1	WP_001541552.1	588858	NA	NA	STM14_RS00030,tap,WP_001541552.1,RS00030	WP_001541552.1,RepA leader peptide,Tap
STM14_RS00035	1907	2788	D	repA	incFII family plasmid replication initiator,incFII family plasmid replication initiator RepA	STM14_RS24260 // repA // tap // STM14_RS00025	NC_016855.1	WP_001738692.1	588858	NA	NA	STM14_RS00035,repA,WP_001738692.1,RS00035	WP_001738692.1,incFII family plasmid replication initiator,RepA
STM14_RS24260	2800	3015	D	STM14_RS24260	hypothetical protein,hypothetical protein	STM14_RS24260 // repA // tap // STM14_RS00025	NC_016855.1	WP_014344451.1	588858	NA	NA	STM14_RS24260,WP_014344451.1,RS24260	WP_014344451.1,hypothetical protein
STM14_RS00580	2801	3730	D	STM14_RS00580	homoserine kinase,homoserine kinase	STM14_RS00585 // STM14_RS00580 // STM14_RS00575	NC_016856.1	WP_000241685.1	588858	NA	NA	STM14_RS00580,WP_000241685.1,RS00580	WP_000241685.1,homoserine kinase
STM14_RS24265	3690	3869	D	STM14_RS24265	membrane protein,membrane protein	STM14_RS24265	NC_016855.1	WP_024133854.1	588858	NA	NA	STM14_RS24265,WP_024133854.1,RS24265	WP_024133854.1,membrane protein
STM14_RS00585	3734	5020	D	STM14_RS00585	threonine synthase,threonine synthase	STM14_RS00585 // STM14_RS00580 // STM14_RS00575	NC_016856.1	WP_000781105.1	588858	NA	NA	STM14_RS00585,WP_000781105.1,RS00585	WP_000781105.1,threonine synthase
STM14_RS00040	3966	4724	R	STM14_RS00040	AraC family transcriptional regulator,AraC family transcriptional regulator	STM14_RS00040	NC_016855.1	WP_000417898.1	588858	HTH_18	GADW_ECOLI	STM14_RS00040,WP_000417898.1,RS00040,PF12833.6	WP_000417898.1,AraC family transcriptional regulator,HTH_18
