gene_id	start	stop	strand	gene_name	product	tu	chromosome	protein_id	taxid	TF_name	TF_K12_ortho	gene_synonyms	protein_synonyms
SL1344_RS23640	21	584	R	SL1344_RS23640	conjugal transfer protein,conjugal transfer protein	SL1344_RS23640	NC_017720.1	WP_000139307.1	216597	NA	NA	SL1344_RS23640,WP_000139307.1,RS23640	WP_000139307.1,conjugal transfer protein
SL1344_RS24690	27	842	R	SL1344_RS24690	sulfonamide-resistant dihydropteroate synthase Sul2,sulfonamide-resistant dihydropteroate synthase Sul2	SL1344_RS24690	NC_017719.1	WP_001043260.1	216597	NA	NA	SL1344_RS24690,WP_001043260.1,RS24690	WP_001043260.1,sulfonamide-resistant dihydropteroate synthase Sul2
SL1344_RS26345	159	479	R	SL1344_RS26345	hypothetical protein,hypothetical protein	SL1344_RS26345	NC_017718.1	WP_032073196.1	216597	NA	NA	SL1344_RS26345,WP_032073196.1,RS26345	WP_032073196.1,hypothetical protein
SL1344_RS00005	190	255	D	thrL	thr operon leader peptide,thr operon leader peptide	thrL	NC_016810.1	WP_001575544.1	216597	NA	NA	SL1344_RS00005,thrL,WP_001575544.1,RS00005	WP_001575544.1,thr operon leader peptide,ThrL
SL1344_RS00010	337	2799	D	SL1344_RS00010	bifunctional aspartate kinase/homoserine dehydrogenase I,bifunctional aspartate kinase/homoserine dehydrogenase I	SL1344_RS00020 // SL1344_RS00015 // SL1344_RS00010	NC_016810.1	WP_001264681.1	216597	NA	NA	SL1344_RS00010,WP_001264681.1,RS00010	WP_001264681.1,bifunctional aspartate kinase/homoserine dehydrogenase I
SL1344_RS24205	455	1486	D	SL1344_RS24205	replication initiation protein,replication initiation protein	SL1344_RS24205	NC_017718.1	WP_000907875.1	216597	NA	NA	SL1344_RS24205,WP_000907875.1,RS24205	WP_000907875.1,replication initiation protein
SL1344_RS23645	639	1379	R	traX	conjugal transfer pilus acetylase TraX,conjugal transfer pilus acetylase TraX	SL1344_RS23650 // traX	NC_017720.1	WP_000177629.1	216597	NA	NA	SL1344_RS23645,traX,WP_000177629.1,RS23645	WP_000177629.1,conjugal transfer pilus acetylase TraX,TraX
SL1344_RS26465	866	943	D	SL1344_RS26465	transcriptional regulator	SL1344_RS27345 // SL1344_RS26465	NC_017719.1	NA	216597	NA	NA	SL1344_RS26465,RS26465	
SL1344_RS27345	940	1044	D	SL1344_RS27345	class A beta-lactamase	SL1344_RS27345 // SL1344_RS26465	NC_017719.1	NA	216597	NA	NA	SL1344_RS27345,RS27345	
SL1344_RS24695	1150	2001	R	SL1344_RS24695	replication protein,replication protein	SL1344_RS24710 // SL1344_RS24705 // SL1344_RS24700 // SL1344_RS24695	NC_017719.1	WP_000240536.1	216597	NA	NA	SL1344_RS24695,WP_000240536.1,RS24695	WP_000240536.1,replication protein
SL1344_RS23650	1399	6657	R	SL1344_RS23650	conjugative transfer relaxase/helicase TraI,conjugative transfer relaxase/helicase TraI	SL1344_RS23650 // traX	NC_017720.1	WP_000986921.1	216597	NA	NA	SL1344_RS23650,WP_000986921.1,RS23650	WP_000986921.1,conjugative transfer relaxase/helicase TraI
SL1344_RS26905	1627	1827	D	SL1344_RS26905	hypothetical protein	SL1344_RS26905	NC_017718.1	NA	216597	NA	NA	SL1344_RS26905,RS26905	
SL1344_RS27320	1955	2090	D	SL1344_RS27320	replication protein	SL1344_RS27320	NC_017718.1	NA	216597	NA	NA	SL1344_RS27320,RS27320	
SL1344_RS24700	1988	2827	R	SL1344_RS24700	regulatory protein RepA,regulatory protein RepA	SL1344_RS24710 // SL1344_RS24705 // SL1344_RS24700 // SL1344_RS24695	NC_017719.1	WP_000190708.1	216597	NA	NA	SL1344_RS24700,WP_000190708.1,RS24700	WP_000190708.1,regulatory protein RepA
SL1344_RS24210	2395	2664	D	SL1344_RS24210	hypothetical protein,hypothetical protein	SL1344_RS24220 // SL1344_RS24215 // SL1344_RS24210	NC_017718.1	WP_000079928.1	216597	NA	NA	SL1344_RS24210,WP_000079928.1,RS24210	WP_000079928.1,hypothetical protein
SL1344_RS24215	2661	2942	D	SL1344_RS24215	type II toxin-antitoxin system RelE/ParE family toxin,type II toxin-antitoxin system RelE/ParE family toxin	SL1344_RS24220 // SL1344_RS24215 // SL1344_RS24210	NC_017718.1	WP_000969996.1	216597	ParE_toxin	-	SL1344_RS24215,WP_000969996.1,RS24215,PF05016.14	WP_000969996.1,type II toxin-antitoxin system RelE/ParE family toxin,ParE_toxin
SL1344_RS00015	2801	3730	D	SL1344_RS00015	homoserine kinase,homoserine kinase	SL1344_RS00020 // SL1344_RS00015 // SL1344_RS00010	NC_016810.1	WP_000241685.1	216597	NA	NA	SL1344_RS00015,WP_000241685.1,RS00015	WP_000241685.1,homoserine kinase
SL1344_RS24705	2857	3063	R	SL1344_RS24705	hypothetical protein,hypothetical protein	SL1344_RS24710 // SL1344_RS24705 // SL1344_RS24700 // SL1344_RS24695	NC_017719.1	WP_007857788.1	216597	NA	NA	SL1344_RS24705,WP_007857788.1,RS24705	WP_007857788.1,hypothetical protein
SL1344_RS24220	2982	3830	D	SL1344_RS24220	3'-5' exonuclease,3'-5' exonuclease	SL1344_RS24220 // SL1344_RS24215 // SL1344_RS24210	NC_017718.1	WP_001057996.1	216597	NA	NA	SL1344_RS24220,WP_001057996.1,RS24220	WP_001057996.1,3'-5' exonuclease
SL1344_RS24710	3065	3277	R	SL1344_RS24710	hypothetical protein,hypothetical protein	SL1344_RS24710 // SL1344_RS24705 // SL1344_RS24700 // SL1344_RS24695	NC_017719.1	WP_000455501.1	216597	NA	NA	SL1344_RS24710,WP_000455501.1,RS24710	WP_000455501.1,hypothetical protein
SL1344_RS24715	3338	5467	R	SL1344_RS24715	mobilization protein A,mobilization protein A	SL1344_RS24715	NC_017719.1	WP_001395566.1	216597	NA	NA	SL1344_RS24715,WP_001395566.1,RS24715	WP_001395566.1,mobilization protein A
SL1344_RS00020	3734	5020	D	SL1344_RS00020	threonine synthase,threonine synthase	SL1344_RS00020 // SL1344_RS00015 // SL1344_RS00010	NC_016810.1	WP_000781105.1	216597	NA	NA	SL1344_RS00020,WP_000781105.1,RS00020	WP_000781105.1,threonine synthase
SL1344_RS24225	3947	4420	D	SL1344_RS24225	hypothetical protein,hypothetical protein	SL1344_RS24225	NC_017718.1	WP_001334658.1	216597	NA	NA	SL1344_RS24225,WP_001334658.1,RS24225	WP_001334658.1,hypothetical protein
SL1344_RS26355	4555	4788	D	SL1344_RS26355	hypothetical protein,hypothetical protein	SL1344_RS26355	NC_017718.1	WP_001334656.1	216597	NA	NA	SL1344_RS26355,WP_001334656.1,RS26355	WP_001334656.1,hypothetical protein
SL1344_RS24230	4897	5163	R	SL1344_RS24230	hypothetical protein,hypothetical protein	SL1344_RS24235 // SL1344_RS24230	NC_017718.1	WP_000627831.1	216597	NA	NA	SL1344_RS24230,WP_000627831.1,RS24230	WP_000627831.1,hypothetical protein
SL1344_RS00025	5114	5887	R	SL1344_RS00025	peroxide stress protein YaaA,peroxide stress protein YaaA	SL1344_RS00025	NC_016810.1	WP_000906175.1	216597	NA	NA	SL1344_RS00025,WP_000906175.1,RS00025	WP_000906175.1,peroxide stress protein YaaA
SL1344_RS24235	5163	5657	R	SL1344_RS24235	hypothetical protein,hypothetical protein	SL1344_RS24235 // SL1344_RS24230	NC_017718.1	WP_001442119.1	216597	NA	NA	SL1344_RS24235,WP_001442119.1,RS24235	WP_001442119.1,hypothetical protein
SL1344_RS24720	5666	5950	D	SL1344_RS24720	mobilization protein C,mobilization protein C	SL1344_RS24720	NC_017719.1	WP_000238497.1	216597	NA	NA	SL1344_RS24720,WP_000238497.1,RS24720	WP_000238497.1,mobilization protein C
SL1344_RS24240	5713	6315	R	SL1344_RS24240	hypothetical protein,hypothetical protein	SL1344_RS26360 // SL1344_RS24240	NC_017718.1	WP_000517689.1	216597	NA	NA	SL1344_RS24240,WP_000517689.1,RS24240	WP_000517689.1,hypothetical protein
