gene_id	start	stop	strand	gene_name	product	tu	GeneID	chromosome	protein_id	taxid	TF_name	TF_K12_ortho	gene_synonyms	protein_synonyms
PSLT001	94	378	D	PSLT001	putative cytoplasmic protein,putative cytoplasmic protein	PSLT001	1256238	NC_003277.2	NP_490493.1	99287	NA	NA	PSLT001,NP_490493.1	NP_490493.1,putative cytoplasmic protein
STM0001	190	255	D	thrL	thr operon leader peptide,thr operon leader peptide	thrL	1251519	NC_003197.2	NP_459006.1	194701	NA	NA	STM0001,thrL,NP_459006.1	NP_459006.1,thr operon leader peptide,ThrL
STM0002	337	2799	D	thrA	bifunctional aspartate kinase/homoserine dehydrogenase I,bifunctional aspartate kinase/homoserine dehydrogenase I	thrC // thrB // thrA	1251520	NC_003197.2	NP_459007.1	194701	NA	NA	STM0002,thrA,NP_459007.1	NP_459007.1,bifunctional aspartate kinase/homoserine dehydrogenase I,ThrA
PSLT002	712	1155	D	PSLT002	putative phospholipase D,putative phospholipase D	PSLT002	1256237	NC_003277.2	NP_490494.1	99287	NA	NA	PSLT002,NP_490494.1	NP_490494.1,putative phospholipase D
PSLT003	1334	1600	D	repC	DNA replication,DNA replication	repC	1256235	NC_003277.2	NP_490495.1	99287	NA	NA	PSLT003,repC,NP_490495.1	NP_490495.1,DNA replication,RepC
PSLT004	1723	1845	D	repA3	DNA replication,DNA replication	repA // tap // repA3	1256236	NC_003277.2	NP_490496.1	99287	NA	NA	PSLT004,repA3,NP_490496.1	NP_490496.1,DNA replication
PSLT005	1850	1927	D	tap	replication of plasmid,replication of plasmid	repA // tap // repA3	1256234	NC_003277.2	NP_490497.1	99287	NA	NA	PSLT005,tap,NP_490497.1	NP_490497.1,replication of plasmid,Tap
PSLT006	1908	2789	D	repA	DNA replication,DNA replication	repA // tap // repA3	1256233	NC_003277.2	NP_490498.3	99287	NA	NA	PSLT006,repA,NP_490498.3	NP_490498.3,DNA replication,RepA
STM0003	2801	3730	D	thrB	homoserine kinase,homoserine kinase	thrC // thrB // thrA	1251521	NC_003197.2	NP_459008.1	194701	NA	NA	STM0003,thrB,NP_459008.1	NP_459008.1,homoserine kinase,ThrB
PSLT007	3730	3870	D	PSLT007	putative outer membrane protein,putative outer membrane protein	PSLT007	1256232	NC_003277.2	NP_490499.1	99287	NA	NA	PSLT007,NP_490499.1	NP_490499.1,putative outer membrane protein
STM0004	3734	5020	D	thrC	threonine synthase,threonine synthase	thrC // thrB // thrA	1251522	NC_003197.2	NP_459009.1	194701	NA	NA	STM0004,thrC,NP_459009.1	NP_459009.1,ThrC,threonine synthase
PSLT008	3967	4725	R	srgC	sdiA-regulated gene;putative bacterial regulatory helix-turn-helix proteins, araC family,sdiA-regulated gene;putative bacterial regulatory helix-turn-helix proteins, araC family	srgC	1256231	NC_003277.2	NP_490500.1	99287	HTH_18	GADW_ECOLI	PSLT008,srgC,NP_490500.1,rcK,PF12833.6	NP_490500.1, araC family,sdiA-regulated gene;putative bacterial regulatory helix-turn-helix proteins,SrgC,HTH_18
PSLT009	4992	5549	R	rcK	resistance to complement killing,resistance to complement killing	rcK	1256230	NC_003277.2	NP_490501.1	99287	NA	NA	PSLT009,rcK,NP_490501.1,srgB	NP_490501.1,resistance to complement killing,SrgB
STM0005	5114	5887	R	yaaA	peroxide stress protein,peroxide stress protein YaaA	yaaA	1251523	NC_003197.2	NP_459010.1	194701	NA	NA	STM0005,yaaA,NP_459010.1	NP_459010.1,peroxide stress protein,YaaA
PSLT010	5639	6538	R	srgB	sdiA-regulated gene; putative outer membrane protein,sdiA-regulated gene; putative outer membrane protein	srgB	1256228	NC_003277.2	NP_490502.1	99287	NA	NA	PSLT010,srgB,NP_490502.1,srgA	NP_490502.1,sdiA-regulated gene; putative outer membrane protein,SrgA,SrgA // SrgB,SrgB
STM0006	5966	7396	R	yaaJ	sodium:alanine symporter family protein,sodium:alanine symporter family protein	yaaJ	1251524	NC_003197.2	NP_459011.1	194701	NA	NA	STM0006,yaaJ,NP_459011.1	NP_459011.1,sodium:alanine symporter family protein,YaaJ
PSLT011	6671	7324	R	srgA	sdiA-regulated gene; putative thiol-disulfide isomerase or thioredoxin,sdiA-regulated gene; putative thiol-disulfide isomerase or thioredoxin	srgA	1256229	NC_003277.2	NP_490503.1	99287	NA	NA	PSLT011,srgA,NP_490503.1,orf7	NP_490503.1,sdiA-regulated gene; putative thiol-disulfide isomerase or thioredoxin,SrgA
PSLT012	7569	7919	R	orf7	putative bacterial regulatory proteins, luxR family,putative bacterial regulatory proteins, luxR family	pefI // orf7	1256227	NC_003277.2	NP_490504.1	99287	GerE	-	PSLT012,orf7,NP_490504.1,pefI,PF00196.18	NP_490504.1, luxR family,PefI,putative bacterial regulatory proteins,GerE
STM0007	7665	8618	D	talB	transaldolase,transaldolase	talB	1251525	NC_003197.2	NP_459012.1	194701	NA	NA	STM0007,talB,NP_459012.1	NP_459012.1,TalB,transaldolase
PSLT013	7904	8116	R	pefI	plasmid-encoded fimbriae; regulatory,plasmid-encoded fimbriae; regulatory	pefI // orf7	1256226	NC_003277.2	NP_490505.1	99287	NA	NA	PSLT013,pefI,NP_490505.1,orf6	NP_490505.1,PefI,plasmid-encoded fimbriae; regulatory
PSLT014	8548	9423	R	orf6	putative outer membrane protein,putative outer membrane protein	orf6	1256224	NC_003277.2	NP_490506.1	99287	NA	NA	PSLT014,orf6,NP_490506.1,orf5	NP_490506.1,putative outer membrane protein
STM0008	8729	9319	D	mog	molybdopterin adenylyltransferase,molybdopterin adenylyltransferase	mog	1251526	NC_003197.2	NP_459013.1	194701	NA	NA	STM0008,mog,NP_459013.1	NP_459013.1,Mog,molybdopterin adenylyltransferase
STM0009	9376	9942	R	yaaH	putative regulatory protein,hypothetical protein	yaaH	1251527	NC_003197.2	NP_459014.1	194701	NA	NA	STM0009,yaaH,NP_459014.1	NP_459014.1,putative regulatory protein,YaaH
PSLT015	9676	10233	R	orf5	putative outer membrane protein,putative outer membrane protein	pefC // pefD // orf5	1256225	NC_003277.2	NP_490507.1	99287	NA	NA	PSLT015,orf5,NP_490507.1,pefD	NP_490507.1,PefD,putative outer membrane protein
STM0010	10092	10805	R	htgA	Positive sigma H regulator,hypothetical protein	yaaI // htgA	1251528	NC_003197.2	NP_459015.1	194701	NA	NA	STM0010,htgA,NP_459015.1	NP_459015.1,HtgA,Positive sigma H regulator
PSLT016	10248	10940	R	pefD	plasmid-encoded fimbriae;chaperone,plasmid-encoded fimbriae;chaperone	pefC // pefD // orf5	1256223	NC_003277.2	NP_490508.1	99287	NA	NA	PSLT016,pefD,NP_490508.1,pefC	NP_490508.1,PefC,PefC // PefD,PefD,plasmid-encoded fimbriae;chaperone
STM0011	10841	11245	R	yaaI	hypothetical protein,hypothetical protein	yaaI // htgA	1251529	NC_003197.2	NP_459016.1	194701	NA	NA	STM0011,yaaI,NP_459016.1	NP_459016.1,hypothetical protein,YaaI
PSLT017	10933	13341	R	pefC	plasmid-encoded fimbriae; usher protein,plasmid-encoded fimbriae; usher protein	pefC // pefD // orf5	1256222	NC_003277.2	NP_490509.1	99287	NA	NA	PSLT017,pefC,NP_490509.1,pefA	NP_490509.1,PefA,PefA // PefC,PefC,plasmid-encoded fimbriae; usher protein
STM0012	11593	13509	D	dnaK	molecular chaperone,molecular chaperone DnaK	dnaK	1251530	NC_003197.2	NP_459017.1	194701	NA	NA	STM0012,dnaK,NP_459017.1	NP_459017.1,DnaK,molecular chaperone
PSLT018	13569	14087	R	pefA	plasmid-encoded fimbriae; major fimbrial subunit,plasmid-encoded fimbriae; major fimbrial subunit	pefA	1256221	NC_003277.2	NP_490510.1	99287	NA	NA	PSLT018,pefA,NP_490510.1,pefB	NP_490510.1,PefA,PefB,PefB // PefA,plasmid-encoded fimbriae; major fimbrial subunit
STM0013	13595	14734	D	dnaJ	molecular chaperone,molecular chaperone DnaJ	dnaJ	1251531	NC_003197.2	NP_459018.1	194701	NA	NA	STM0013,dnaJ,NP_459018.1	NP_459018.1,DnaJ,molecular chaperone
PSLT019	14362	14664	R	pefB	plasmid-encoded fimbriae;regulation,plasmid-encoded fimbriae;regulation	pefB	1256219	NC_003277.2	NP_490511.1	99287	PapB	-	PSLT019,pefB,NP_490511.1,PF03333.12	NP_490511.1,PefB,plasmid-encoded fimbriae;regulation,PapB
STM0014	15014	15961	D	STM0014	putative LysR family transcriptional regulator,hypothetical protein	STM0014	1251532	NC_003197.2	NP_459019.1	194701	HTH_1	-	STM0014,NP_459019.1,PF00126.26	NP_459019.1,putative LysR family transcriptional regulator,HTH_1
PSLT020	15561	15764	D	PSLT020	hypothetical protein,hypothetical protein	PSLT020	1256220	NC_003277.2	NP_490512.1	99287	NA	NA	PSLT020,NP_490512.1	NP_490512.1,hypothetical protein
PSLT021	15921	16377	NA	PSLT021		PSLT021	NA	NA	NA	NA	NA	NA	PSLT021	
PSLT022	16074	16380	NA	repA2		repA2	NA	NA	NA	NA	NA	NA	PSLT022,repA2	DNA replication
STM0015	16088	16432	D	STM0015	putative bacteriophage protein,hypothetical protein	STM0015	1251533	NC_003197.2	NP_459020.1	194701	NA	NA	STM0015,NP_459020.1	NP_459020.1,putative bacteriophage protein
STM0016	16493	17026	R	STM0016	hypothetical protein,hypothetical protein	STM0017 // STM0016	1251534	NC_003197.2	NP_459021.1	194701	NA	NA	STM0016,NP_459021.1	NP_459021.1,hypothetical protein
