gene_name_K12	gene_name_SL1344	gene_name_LT2	gene_name_14028s	gene_name_ST474	gene_id_K12	gene_id_SL1344	gene_id_LT2	gene_id_14028s	gene_id_ST474	ortho_id
upp	SL1344_RS12820	upp	STM14_RS13725	upp	b2498	SL1344_RS12820	STM2498	STM14_RS13725	STM474_RS12820	ortho_1
trg	SL1344_RS08105	trg	STM14_RS09005	STM474_RS08105	b1421	SL1344_RS08105	STM1626	STM14_RS09005	STM474_RS08105	ortho_2
prc	SL1344_RS09215	prc	STM14_RS10120	prc	b1830	SL1344_RS09215	STM1845	STM14_RS10120	STM474_RS09215	ortho_3
hisC	SL1344_RS10665	hisC	STM14_RS11570	hisC	b2021	SL1344_RS10665	STM2073	STM14_RS11570	STM474_RS10665	ortho_4
ftnB	SL1344_RS09665	ftnB	STM14_RS10570	STM474_RS09665	b1902	SL1344_RS09665	STM1932	STM14_RS10570	STM474_RS09665	ortho_5
cutA	SL1344_RS22200	cutA	cutA	cutA	b4137	SL1344_RS22200	STM4324	STM14_RS22695	STM474_RS22200	ortho_6
atpH	SL1344_RS19915	atpH	atpH	atpH	b3735	SL1344_RS19915	STM3868	STM14_RS20420	STM474_RS19915	ortho_7
cobS	SL1344_RS10385	cobS	cobS	cobS	b1992	SL1344_RS10385	STM2017	STM14_RS11290	STM474_RS10385	ortho_8
glgB	SL1344_RS18245	glgB	STM14_RS18750	glgB	b3432	SL1344_RS18245	STM3538	STM14_RS18750	STM474_RS18245	ortho_9
hofO	SL1344_RS18010	yrfB	STM14_RS18515	STM474_RS18010	b3393	SL1344_RS18010	STM3490	STM14_RS18515	STM474_RS18010	ortho_10
fucO	SL1344_RS15380	fucO	fucO	fucO	b2799	SL1344_RS15380	STM2973	STM14_RS15905	STM474_RS15380	ortho_11
nuoM	nuoA	nuoA	nuoA	nuoA	b2277	SL1344_RS11945	STM2328	STM14_RS12850	STM474_RS11945	ortho_12
fabG	SL1344_RS05895	fabG	fabG	fabG	b1093	SL1344_RS05895	STM1195	STM14_RS06480	STM474_RS05895	ortho_13
yheS	SL1344_RS17855	yheS	STM14_RS18360	STM474_RS17855	b3352	SL1344_RS17855	STM3459	STM14_RS18360	STM474_RS17855	ortho_14
